date,equity,cash,shares,close,drawdownPct
2001-08-27,100000,100000,0,118.30999755859375,0
2001-08-28,99277.61,50080.85,422,116.58000183105469,0.72
2001-08-29,98838.73,50080.85,422,115.54000091552734,1.16
2001-08-30,97901.89,50080.85,422,113.31999969482422,2.1
2001-08-31,98252.15,50080.85,422,114.1500015258789,1.75
2001-09-04,97944.09,50080.85,422,113.41999816894531,2.06
2001-09-05,98062.25,50080.85,422,113.69999694824219,1.94
2001-09-06,96825.79,50080.85,422,110.7699966430664,3.17
2001-09-07,95960.69,50080.85,422,108.72000122070312,4.04
2001-09-10,96521.95,50080.85,422,110.05000305175781,3.48
2001-09-17,94095.45,50080.85,422,104.30000305175781,5.9
2001-09-18,93962.36,40168.51,517,104.05000305175781,6.04
2001-09-19,92876.66,40168.51,517,101.94999694824219,7.12
2001-09-20,91201.58,40168.51,517,98.70999908447266,8.8
2001-09-21,90462.27,40168.51,517,97.27999877929688,9.54
2001-09-24,92230.41,40168.51,517,100.69999694824219,7.77
2001-09-25,92773.26,40168.51,517,101.75,7.23
2001-09-26,92587.14,40168.51,517,101.38999938964844,7.41
2001-09-27,93042.1,40168.51,517,102.2699966430664,6.96
2001-09-28,94163.99,40168.51,517,104.44000244140625,5.84
2001-10-01,94076.1,40168.51,517,104.2699966430664,5.92
2001-10-02,94753.37,40168.51,517,105.58000183105469,5.25
2001-10-03,95668.46,40168.51,517,107.3499984741211,4.33
2001-10-04,95714.99,40168.51,517,107.44000244140625,4.29
2001-10-05,95606.42,40168.51,517,107.2300033569336,4.39
2001-10-08,95244.52,40168.51,517,106.52999877929688,4.76
2001-10-09,94949.83,40168.51,517,105.95999908447266,5.05
2001-10-10,96169.95,40168.51,517,108.31999969482422,3.83
2001-10-11,97038.51,40168.51,517,110,2.96
2001-10-12,96780.01,40168.51,517,109.5,3.22
2001-10-15,96676.61,40168.51,517,109.30000305175781,3.32
2001-10-16,97033.34,40168.51,517,109.98999786376953,2.97
2001-10-17,95823.56,40168.51,517,107.6500015258789,4.18
2001-10-18,95704.65,40168.51,517,107.41999816894531,4.3
2001-10-19,95668.46,40168.51,517,107.3499984741211,4.33
2001-10-22,96764.5,40168.51,517,109.47000122070312,3.24
2001-10-23,96474.98,40168.51,517,108.91000366210938,3.53
2001-10-24,96325.05,40168.51,517,108.62000274658203,3.67
2001-10-25,97333.2,40168.51,517,110.56999969482422,2.67
2001-10-26,97203.95,40168.51,517,110.31999969482422,2.8
2001-10-29,95720.16,40168.51,517,107.44999694824219,4.28
2001-10-30,95053.23,40168.51,517,106.16000366210938,4.95
2001-10-31,94867.11,40168.51,517,105.80000305175781,5.13
2001-11-01,96268.18,40168.51,517,108.51000213623047,3.73
2001-11-02,96650.76,40168.51,517,109.25,3.35
2001-11-05,97390.07,40168.51,517,110.68000030517578,2.61
2001-11-06,98279.31,40168.51,517,112.4000015258789,1.72
2001-11-07,98201.76,40168.51,517,112.25,1.8
2001-11-08,98382.71,40168.51,517,112.5999984741211,1.62
2001-11-09,98444.75,40168.51,517,112.72000122070312,1.56
2001-11-12,98088.02,40168.51,517,112.02999877929688,1.91
2001-11-13,99390.86,40168.51,517,114.55000305175781,0.61
2001-11-14,99447.73,40168.51,517,114.66000366210938,0.55
2001-11-15,99556.3,40168.51,517,114.87000274658203,0.44
2001-11-16,99292.63,40168.51,517,114.36000061035156,0.71
2001-11-19,100021.6,40168.51,517,115.7699966430664,0
2001-11-20,99520.11,40168.51,517,114.80000305175781,0.5
2001-11-21,99127.19,40168.51,517,114.04000091552734,0.89
2001-11-23,99975.07,40168.51,517,115.68000030517578,0.05
2001-11-26,100104.32,40168.51,517,115.93000030517578,0
2001-11-27,99845.82,40168.51,517,115.43000030517578,0.26
2001-11-28,98765.29,40168.51,517,113.33999633789062,1.34
